GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tourguide,com.openclassrooms.tourguide.service,TourGuideService,65,320,7,3,12,72,8,20,3,20
tourguide,com.openclassrooms.tourguide.service,TourGuideService.new Thread() {...},0,11,0,0,0,3,0,2,0,2
tourguide,com.openclassrooms.tourguide.service,RewardsService,7,165,1,11,2,32,2,13,1,8
tourguide,com.openclassrooms.tourguide.user,UserPreferences,35,18,0,0,15,7,10,1,10,1
tourguide,com.openclassrooms.tourguide.user,UserReward,22,12,0,0,9,5,5,1,5,1
tourguide,com.openclassrooms.tourguide.user,User,49,76,0,2,18,21,12,9,12,8
tourguide,com.openclassrooms.tourguide.tracker,Tracker,10,85,2,2,5,24,2,5,0,5
tourguide,com.openclassrooms.tourguide,TourGuideModule,0,19,0,0,0,4,0,4,0,4
tourguide,com.openclassrooms.tourguide,TourguideApplication,5,3,0,0,2,1,1,1,1,1
tourguide,com.openclassrooms.tourguide,TourGuideController,35,3,0,0,6,1,6,1,6,1
